venue_id,name,latitude,longitude,timezone,roof,canonical_venue_id,confidence,notes
18034,"La Trobe University",-37.7220,145.0480,Australia/Melbourne,none,18034,medium,"La Trobe University sports fields, Bundoora VIC; exact oval within campus unconfirmed"
8,"Traeger Park",-23.7081,133.8745,Australia/Darwin,none,8,high,"Alice Springs NT"
17643,"Thomas Farms Oval",-34.9460,138.6010,Australia/Adelaide,none,17643,high,"Unley Oval, Unley SA; canonical for Unley Oval alias"
14,"Barossa Park",-34.6014,138.8892,Australia/Adelaide,none,14,high,"Lyndoch Recreation Park, Lyndoch SA (Gather Round venue 2025+); canonical for Barossa Oval alias"
17603,"South Pine Sports Complex",-27.3190,152.9800,Australia/Brisbane,none,17603,medium,"Brendale QLD; complex placement approximate"
17638,"Hickey Park",-27.4075,153.0090,Australia/Brisbane,none,17638,high,"Stafford QLD, Wilston Grange FC; hosted AFLW 2019-2021 (verified via Wikipedia)"
17662,"Sullivan Logistics Stadium",-31.9366,115.8419,Australia/Perth,none,17662,high,"Leederville Oval, Leederville WA (verified via Austadiums)"
17663,"Great Barrier Reef Arena",-21.1550,149.1780,Australia/Brisbane,none,17663,high,"Harrup Park, Mackay QLD"
17718,"Kennedy Community Centre",-37.9800,145.1300,Australia/Melbourne,none,17718,high,"Hawthorn FC HQ, Dingley Village VIC; opened 2025 (verified via Wikipedia)"
17853,"Graham Rd",-27.3460,153.0240,Australia/Brisbane,none,17853,high,"Graham Road Oval, Carseldine QLD, Aspley FC (verified via Wikipedia)"
17878,"Austworld Centre Oval",-28.0050,153.3640,Australia/Brisbane,none,17878,high,"Carrara Elite Sports Field 1, adjacent to People First Stadium, Carrara QLD (verified via Austadiums)"
17932,"Wonthaggi Recreation Reserve",-38.6080,145.5930,Australia/Melbourne,none,17932,high,"Wonthaggi VIC"
18041,"Bill Lawry Oval",-37.7700,145.0030,Australia/Melbourne,none,18041,high,"Northcote VIC"
217702,"Cockburn ARC Oval",-32.1220,115.8450,Australia/Perth,none,217702,high,"Victor George Kailis Oval at Cockburn ARC (Fremantle FC HQ), Cockburn Central WA; canonical for Victor George Kailis Oval alias"
17721,"Tom Wills Oval",-33.8420,151.0700,Australia/Sydney,none,17721,high,"GWS Giants training oval, Sydney Olympic Park NSW"
69,"North Hobart",-42.8690,147.3180,Australia/Hobart,none,17628,high,"Alias of North Hobart Oval (17628)"
17608,"Olympic Park Oval",-37.8243,144.9810,Australia/Melbourne,none,17726,high,"Same ground as KGM Centre matches; alias of KGM Centre (17726)"
17755,"North Sydney Oval",-33.8380,151.2080,Australia/Sydney,none,17755,high,"North Sydney NSW"
16,"Jiangwan Stadium",31.3070,121.5170,Asia/Shanghai,none,16,high,"Shanghai, China (AFL premiership matches 2017-2019)"
87,"Wellington",-41.2730,174.7859,Pacific/Auckland,none,87,high,"Sky Stadium (Westpac Stadium), Wellington NZ (St Kilda home matches 2013-2015)"
17658,"Richmond Oval",-34.9445,138.5550,Australia/Adelaide,none,17658,high,"Richmond SA, West Adelaide FC; Adelaide Crows AFLW home ground 2020 (verified via Wikipedia)"
17727,"Holm Park Recreation Reserve",-38.0400,145.3750,Australia/Melbourne,none,17727,medium,"Beaconsfield VIC; reserve placement approximate"
17794,"C.ex Coffs International Stadium",-30.3200,153.1090,Australia/Sydney,none,17794,high,"Coffs Harbour NSW"
17876,"Highgate Recreation Reserve",-37.6070,144.9150,Australia/Melbourne,none,17876,high,"Grand Blvd, Craigieburn VIC (ex RAMS Arena; verified via Wikipedia)"
7,"Hands Oval",-33.3336,115.6519,Australia/Perth,none,7,high,"Bunbury WA"
17598,"Thebarton Oval",-34.9130,138.5660,Australia/Adelaide,none,17598,high,"Torrensville SA"
17615,"Drummoyne Oval",-33.8520,151.1540,Australia/Sydney,none,17615,high,"Drummoyne NSW"
17640,"Morwell Recreation Reserve",-38.2320,146.4020,Australia/Melbourne,none,17640,high,"Morwell VIC"
17706,"Maroochydore",-26.6440,153.0640,Australia/Brisbane,none,17706,medium,"Maroochydore Multi Sports Complex, Fishermans Rd, Maroochydore QLD (Brisbane AFLW 2022); exact oval within precinct unconfirmed"
17905,"Lakeside Oval Sydney",-33.8917,151.2219,Australia/Sydney,none,17744,high,"Alternative name for Tramway Oval, Moore Park NSW (confirmed via Wikipedia); alias of Tramway Oval (17744)"
18040,"KFC Oval - Queens Park",-38.1670,144.3320,Australia/Melbourne,none,18040,medium,"Queens Park, Highton, Geelong VIC per GameDay venue listing; single-source identification"
427845,"Dial Park",-41.1290,146.0700,Australia/Hobart,none,427845,high,"Dial Regional Sports Complex, Penguin TAS (verified via Wikipedia)"
26,"Riverway Stadium",-19.3135,146.7390,Australia/Brisbane,none,26,high,"Thuringowa, Townsville QLD"
58,"Bruce Stadium",-35.2496,149.1013,Australia/Sydney,none,58,high,"Canberra Stadium, Bruce ACT; ACT uses Australia/Sydney"
93,"Blacktown",-33.7692,150.8593,Australia/Sydney,none,17602,high,"Alias of Blacktown ISP (17602)"
17604,"Rushton Park",-32.5320,115.7250,Australia/Perth,none,17604,high,"Peel Thunder FC, Mandurah WA"
17622,"Ted Summerton Recreational Reserve",-38.1760,146.2610,Australia/Melbourne,none,17622,high,"Moe VIC"
17660,"Queen Elizabeth Oval",-36.7600,144.2790,Australia/Melbourne,none,17660,high,"Bendigo VIC"
17665,"Robertson Oval",-35.1190,147.3700,Australia/Sydney,none,17665,high,"Wagga Wagga NSW"
17695,"Magain Stadium",-35.1440,138.4990,Australia/Adelaide,none,17695,high,"Hickinbotham Oval, Noarlunga Downs SA"
17773,"Reid Oval Warrnambool",-38.3790,142.4800,Australia/Melbourne,none,17773,high,"Warrnambool VIC"
17831,"Bond University",-28.0760,153.4130,Australia/Brisbane,none,17831,high,"Bond University oval, Robina, Gold Coast QLD"
17995,"Albury Sports Ground",-36.0790,146.9200,Australia/Sydney,none,17995,high,"Albury NSW"
18094,"Central Reserve",-38.3390,143.5880,Australia/Melbourne,none,18094,medium,"Central Reserve, Colac VIC (hosted VFLW per Colac Herald); ambiguous with Central Reserve, Glen Waverley VIC"
427844,"Narrandera Sports Ground",-34.7480,146.5480,Australia/Sydney,none,427844,high,"Narrandera NSW"
9,"Barossa Oval",-34.6014,138.8892,Australia/Adelaide,none,14,medium,"No distinct 'Barossa Oval' venue found; treated as early/alternate name for Barossa Park, Lyndoch SA; 0 matches so no backfill impact"
25,"Summit Sports Park",-35.0750,138.8800,Australia/Adelaide,none,25,medium,"Summit Sport and Recreation Park, Mount Barker SA (Gather Round 2023-24); park placement approximate"
245155,"Unley Oval",-34.9460,138.6010,Australia/Adelaide,none,17643,high,"Alias of Thomas Farms Oval (17643)"
763961,"Victor George Kailis Oval",-32.1220,115.8450,Australia/Perth,none,217702,high,"Same ground as Cockburn ARC Oval (verified via Austadiums); alias of Cockburn ARC Oval (217702)"
1526404,"Blacktown International Sportspark",-33.7692,150.8593,Australia/Sydney,none,17602,high,"Alias of Blacktown ISP (17602)"
1184693,"Avalon Airport Oval",-37.9030,144.6560,Australia/Melbourne,none,17641,high,"Alias of Melbourne Avalon Airport Oval (17641), Chirnside Park, Werribee VIC"
